Feature,IncNodePurity
c5016,0
c5020,0
c5031,0
c5032,0
c5034,0
c5035,0
c5037,0
c5039,0
c5044,0
c5048,0
c5049,0
c5051,0
c5052,0
c5054,0
c5055,0
c5058,0
c5064,0
c5068,0
c5069,0
c5072,0
c5074,0
c5076,0
c5079,0
c5083,0
c5099,0
c5102,0
c5104,0
c5105,0
c5106,0
c5107,0
c5119,0
c5122,0
c5124,0
c5127,0
c5131,0
c5136,0
c5140,0
c5143,0
c5154,0
c5155,0
c5157,0
c5159,0
c5161,0
c5173,0
c5175,0
c5180,0
c5189,0
c5195,0
c5198,0
c5203,0
c5208,0.894784516
c5210,0
c5213,0
c5215,0
c5220,0
c5229,0
c5232,0
c5233,0
c5239,0
c5240,0
c5241,0
c5247,0
c5249,0
c5253,0
c5255,0
c5263,0
c5264,0
c5269,0
c5275,0
c5277,0
c5278,0
c5285,0
c5290,1.209650497
c5293,0
c5295,0.006256628
c5297,0
c5299,0
c5302,0
c5304,0
c5305,0
c5307,0.007056308
c5314,0
c5319,0
c5323,0
c5328,0
c5331,0
c5333,0
c5334,0
c5335,0
c5337,0
c5339,0
c5343,0
c5349,0
c5350,0
c5359,0
c5363,0
c5368,0.382655306
c5375,0
c5382,0
c5387,0
c5389,0.145133839
c5400,0
c5403,0
c5405,0
c5413,0
c5414,0
c5432,0
c5433,0
c5437,0
c5440,0
c5442,0
c5445,0
c5446,0
c5448,0
c5451,0
c5452,0
c5458,0
c5459,0
c5464,0
c5468,0
c5469,0
c5477,0
c5478,0
c5479,0
c5487,0
c5488,0
c5494,0
c5496,0
c5498,0
c5501,0
c5513,0
c5521,0
c5526,0
c5527,0
c5528,0
c5532,0
c5536,0
c5538,0
c5550,0
c5558,0
c5561,0
c5564,0
c5568,0
c5569,0
c5570,0
c5572,0
c5579,0
c5581,0
c5586,0
c5594,0
c5596,0
c5605,0
c5610,274.5822938
c5617,0
c5618,0
c5619,0
c5620,0
c5626,0
c5630,0
c5638,0
c5641,0
c5642,0
c5645,0
c5647,0
c5650,0
c5654,0
c5658,0
c5661,0
c5667,0
c5676,0
c5680,0
c5682,0
c5685,0
c5687,0
c5689,0
c5694,0
c5699,0
c5708,0
c5709,0
c5718,0
c5723,0
c5724,0
c5734,0
c5735,0
c5740,0
c5744,0
c5747,0
c5748,0
c5749,0.062471396
c5750,0
c5751,0
c5752,0
c5753,0
c5767,0
c5782,0
c5787,0
c5790,0
c5791,0
c5792,0
c5802,0
c5806,0
c5814,0
c5818,0
c5827,0
c5830,0
c5833,0
c5836,0
c5838,0
c5842,0
c5844,0
c5849,0
c5854,0
c5863,0
c5876,0
c5880,0
c5883,0
c5885,0
c5886,0
c5887,0
c5892,0
c5899,0
c5909,0
c5911,0
c5914,0
c5917,0
c5922,0
c5926,0
c5932,0
c5936,0
c5957,0
c5964,0
c5970,0
c5973,0
c5974,0
c5976,0
c5980,0
c5981,0
c5982,0
c5984,0
c5985,0
c5987,0
c6003,0
c6004,0
c6011,0
c6012,0
c6019,0
c6021,0
c6022,0
c6025,0
