"","V1","V2"
"601","POP4","c601"
"602","MALL","c602"
"603","PARK2","c603"
"604","OR1B1","c604"
"605","GPR124","c605"
"606","TMEM132A","c606"
"607","RNU5D-1","c607"
"608","LCE1E","c608"
"609","DACT3-AS1","c609"
"610","RUVBL2","c610"
"611","CGRRF1","c611"
"612","ACPL2","c612"
"613","PIANP","c613"
"614","WNT10B","c614"
"615","GTF2IRD2P1","c615"
"616","BAIAP2L2","c616"
"617","LOC728724","c617"
"618","ISCA1","c618"
"619","RPAP1","c619"
"620","NXPE2","c620"
"621","RPL27","c621"
"622","NLRP9","c622"
"623","EPN1","c623"
"624","LOC649133","c624"
"625","SLC35A1","c625"
"626","GAL","c626"
"627","SLC14A2","c627"
"628","RDH11","c628"
"629","FAM138F","c629"
"630","SERF2-C15ORF63","c630"
"631","AUH","c631"
"632","MBD2","c632"
"633","ABHD14B","c633"
"634","SPHAR","c634"
"635","PIGT","c635"
"636","ALAS1","c636"
"637","FOXO1","c637"
"638","PPP1R17","c638"
"639","CRLF3","c639"
"640","OR5W2","c640"
"641","FARS2","c641"
"642","LOC285593","c642"
"643","CCDC28A","c643"
"644","OR13F1","c644"
"645","NPHP3","c645"
"646","LOC285627","c646"
"647","PYURF","c647"
"648","TSEN54","c648"
"649","MAGI2-AS3","c649"
"650","OR8B4","c650"
"651","DEFB106B","c651"
"652","STH","c652"
"653","ZC3H14","c653"
"654","HMGXB4","c654"
"655","CBX2","c655"
"656","CXADRP2","c656"
"657","RBMXL1","c657"
"658","CRTAP","c658"
"659","DDX50","c659"
"660","TBPL2","c660"
"661","STYXL1","c661"
"662","EFCAB4A","c662"
"663","BLVRB","c663"
"664","A1BG-AS1","c664"
"665","SNORA68","c665"
"666","CCZ1B","c666"
"667","MMP24","c667"
"668","GRID1","c668"
"669","BANF1","c669"
"670","CATSPER2P1","c670"
"671","HMBS","c671"
"672","FAM13A","c672"
"673","SLC25A24","c673"
"674","LINC00161","c674"
"675","SLC25A15","c675"
"676","MRO","c676"
"677","CCDC129","c677"
"678","ACER3","c678"
"679","LOC100500773","c679"
"680","FAM84B","c680"
"681","TDP1","c681"
"682","C16orf78","c682"
"683","C11orf57","c683"
"684","RFK","c684"
"685","ARHGAP8","c685"
"686","ZFYVE9","c686"
"687","WIBG","c687"
"688","GBA2","c688"
"689","NDUFB3","c689"
"690","LINC00588","c690"
"691","HSD17B13","c691"
"692","KRTAP5-11","c692"
"693","MIR3145","c693"
"694","GRIN3A","c694"
"695","FLJ34503","c695"
"696","FMNL1","c696"
"697","FLJ41200","c697"
"698","CHTOP","c698"
"699","7-Sep","c699"
"700","GNLY","c700"
